Industry,Business Name,Original Scrapped Investment,Slightly Investment Required, Min Investment , Max Investment  ,Currency
Commercial / Residential Services,Dryer Vent Wizard,"Investment Required: Plus (30,800 - 109,500 USD)","Plus (30,800 - 109,500 USD)"," $30,800.00 "," $109,500.00 ",USD
E-Commerce,eSupply Canada,"Investment Required: $25,000 to $45,000","$25,000 to $45,000"," $25,000.00 "," $45,000.00 ",USD
Commercial / Residential Services,Fire-Alert Franchising Ltd.,Investment Required: $125K,$125K," $125,000.00 "," $125,000.00 ",USD
Home - Improvement / Renovation / Restoration,Five Star Painting,"Investment Required: + ($29,730 - $139,280 USD)","+ ($29,730 - $139,280 USD)"," $29,730.00 "," $139,280.00 ",USD
Business Consultants / Services / Training,FranNet LLC,"Investment Required: $44,265.00- $81,415.00 US","$44,265.00- $81,415.00 US"," $44,265.00 "," $81,415.00 ",USD
Lawn & Garden Supplies / Services,Grounds Guys®,"Investment Required: + ($46,220 - $165,870 USD)","+ ($46,220 - $165,870 USD)"," $46,220.00 "," $165,870.00 ",USD
Custom Deck,Hickory Dickory Decks,Investment Required: $70K-$93K,$70K-$93K," $70,000.00 "," $93,000.00 ",USD
Food - Quick Service Restaurants,Kentucky Fried Chicken Canada Company (KFC Canada),"Investment Required: $650,000 - $1,000,000+","$650,000 - $1,000,000+"," $650,000.00 "," $1,000,000.00 ",USD
Commercial / Residential Services,Mr. Appliance,"Investment Required: + ($25,800 -$104,565 USD)","+ ($25,800 -$104,565 USD)"," $25,800.00 "," $104,565.00 ",USD
Commercial / Residential Services,Mr. Electric,"Investment Required: + ($63,600 -$202,000 USD)","+ ($63,600 -$202,000 USD)"," $63,600.00 "," $202,000.00 ",USD
Food - Quick Service Restaurants,Panago Pizza Inc.,"Investment Required: $625,000 (average)","$625,000 (average)"," $625,000.00 "," $625,000.00 ",USD
Home - Improvement / Renovation / Restoration,Paul Davis Restoration Inc.,Investment Required: $237K - $383K,$237K - $383K," $237,000.00 "," $383,000.00 ",USD
Home - Improvement / Renovation / Restoration,Rainbow International,"Investment Required: + ($116,031 - $217,756 USD)","+ ($116,031 - $217,756 USD)"," $116,031.00 "," $217,756.00 ",USD
Printing / Copying / Shipping,The UPS Store,"Investment Required: $199,250 – $218,500","$199,250 – $218,500"," $199,250.00 "," $218,500.00 ",USD
Business Consultants / Services / Training,ActionCOACH,"Investment Required: $100,000 - $416,820","$100,000 - $416,820"," $100,000.00 "," $416,820.00 ",USD
Educational Products & Services,Angus Valley Montessori Schools,Investment Required: $900-$2.2M,$900-$2.2M," $900,000.00 "," $2,200,000.00 ",USD
Food - Restaurants / Dining Rooms,Boston Pizza International Inc.,Investment Required: $1.5M-$2.6M,$1.5M-$2.6M," $1,500,000.00 "," $2,600,000.00 ",USD
Home - Inspection Services,Carson Dunlop Home Inspection,"Investment Required: $40,600-$49,400","$40,600-$49,400"," $40,600.00 "," $49,400.00 ",USD
Designated Driving / Transportation Services,Driverseat Inc,Investment Required: $150000,$150000," $150,000.00 "," $150,000.00 ",USD
Food - Quick Service Restaurants,Mary Brown's Chicken,Investment Required: $850K+,$850K+," $850,000.00 ", $-   ,USD
Health / Fitness / Nutrition,Massage Addict,"Investment Required: $287,400 - $419,400","$287,400 - $419,400"," $287,400.00 "," $419,400.00 ",USD
Mobile Businesses,Mobile Senior Shop,Investment Required: $50-$75K,$50-$75K," $50,000.00 "," $75,000.00 ",USD
Educational Products & Services,"Oxford Learning Centres, Inc.",Investment Required: $125K - $382K + Applicable Taxes,$125K - $382K + Applicable Taxes," $125,000.00 "," $382,000.00 ",0
Health / Fitness / Nutrition,Oxygen Yoga & Fitness,Investment Required: $350000,$350000," $350,000.00 ", $-   ,0
Food - Quick Service Restaurants,Pizza Pizza,"Investment Required: $495,000","$495,000"," $495,000.00 ", $-   ,0
Food - Quick Service Restaurants,Pokerrito,Investment Required: 350-450K,350-450K," $350,000.00 "," $450,000.00 ",0
Educational Products & Services,Tutor Doctor,Investment Required: $95K,$95K," $95,000.00 ", $-   ,0
